あい,愛,"[Noun, Noun - used as a suffix] 1. love; affection; care {See also 愛する} [Noun] 2. attachment; craving; desire {Buddhist term}"
あいじょう,愛情,"[Noun, No-adjective] 1. love; affection"
あいず,合図,"[Noun, Suru verb] 1. sign; signal | Other forms: 相図 【あいず】"
アイスクリーム,アイスクリーム,[Noun] 1. ice cream; icecream
あいする,愛する,"[Suru verb - special class, Transitive verb] 1. to love"
あいて,相手,"[Noun] 1. companion; partner; company 2. other party; addressee 3. opponent (sports, etc.)"
あいにく,あいにく,"[Na-adjective, Adverb, Noun, No-adjective] 1. unfortunately; Sorry, but ... {Usually written using kana alone} | Other forms: 合憎 【あいにく】 [Notes] 合憎: Irregular kanji usage."
アイロン,アイロン,[Noun] 1. iron (for pressing clothes) 2. hair iron; hair tong; curling tong
アウト,アウト,[Noun] 1. out [Wikipedia definition] 2. Out
あかり,明かり,"[Noun] 1. light; illumination; glow; gleam {Only applies to 明かり, Only applies to 明り} 2. lamp; light {See also 明かりを消す} | Other forms: 明り 【あかり】、灯り 【あかり】、灯 【あかり】、灯かり 【あかり】、灯火 【あかり】 [Notes] 灯火: Irregular kanji usage."
あき,空き,[Noun] 1. space; room; emptiness; gap 2. opening; vacancy; empty seat 3. free time; time to spare 4. disuse; unused thing | Other forms: 明き 【あき】
あきらか,明らか,"[Na-adjective, Noun] 1. obvious; evident; clear; plain | Other forms: 顕らか 【あきらか】 [Notes] 顕らか: Irregular kanji usage."
あきらめる,諦める,"[Ichidan verb, Transitive verb] 1. to give up; to abandon (hope, plans); to resign oneself (to)"
あきる,飽きる,"[Ichidan verb, intransitive verb] 1. to get tired of; to lose interest in; to have enough | Other forms: 厭きる 【あきる】、倦きる 【あきる】、倦る 【あきる】 [Notes] 倦る: Irregular okurigana usage."
あくしゅ,握手,"[Noun, Suru verb] 1. handshake"
あくま,悪魔,"[Noun] 1. devil; demon; fiend 2. Satan; the Devil {See also サタン, in Christianity and Judaism} 3. Māra; evil spirits or forces that hinder one's path to enlightenment {Buddhist term}"
あずける,預ける,"[Ichidan verb, Transitive verb] 1. to give into custody; to leave (a child) in the care of; to entrust; to deposit {See also 預かる} 2. to lean on; to put one's weight on"
あせ,汗,[Noun] 1. sweat; perspiration 2. moisture; condensation
あたい,値,"[Noun, No-adjective] 1. price; cost 2. value; worth; merit 3. value; count; number {Mathematics, Only applies to あたい} 4. variable (computer programming, programing) {Computer terminology, Only applies to あたい} [Wikipedia definition] 5. Value | Other forms: 価 【あたい】、價 【あたい】、値 【ね】、直 【ね】 [Notes] 價: Out-dated kanji."
あたえる,与える,"[Ichidan verb, Transitive verb] 1. to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award 2. to provide; to afford; to offer; to supply 3. to assign 4. to cause 5. to pass (a variable to a function) {Computer terminology}"
あたり,あたり,"[Noun] 1. on the bank of; by the side of (e.g. a river, pond) {Usually written using kana alone, esp. ほとり} 2. (in the) neighbourhood; neighborhood; vicinity; nearby [Noun - used as a suffix] 3. around (Sunday, last year, etc...) {Only applies to あたり} 4. for instance {Only applies to あたり} | Other forms: 辺り 【ほとり】、畔 【ほとり】"
