絵本,painting; picture; drawing,,
映画館,movie theater,,
外国人,foreigner,,
家具,furniture,,
観光,sightseeing,,
結婚式,wedding,,
地震,earthquake,,
締め切り,deadline,,
ジャケット,jacket,,
習慣,custom,,
税金,tax,,
卒業式,graduation ceremony,,
そば,soba; Japanese buckwheat noodle,,
地図,map,,
電池,battery,,
庭,garden,,
発表,presentation,,
番組,broadcast (program),,
プール,swimming pool,,
ペット,pet,,
予定,schedule,,
旅館,"inn (japanese, as opposed to ホテル)",,
割引券,discount coupon,,
広い,"spacious, wide",,
売る,to sell,,
下ろす,to withdraw,,
描く,"to draw, paint",,
探す,to look for,,
誘う,to invite,,
付き合う,"to date (person と), to keep company (purpose に)",,
着く,to arrive (place に),,
保険に入る,to buy insurance,,
気を付ける,to be careful （～に）,,
調べる,to look into (a matter) (matter を),,
捨てる,to throw away,,
見える,to be visible,,
する,to decide on (an item) (thing に),,
卒業する,to graduate (school を),,
予約する,to reserve,,
一日中,all day long,,
～けど,"but, so",,
最近,recently,,
～について,"about, concerning",,
～番,number...,,
～目,-th,,
もう一度,one more time,,
家具,dictionary,,
インターネット,internet,,
教室,classroom,,
建物,building,,
ボランティア,volunteer,,
活動,activity,,
経験,experience,,
しゃべる,to chat,,
参加する,participate,,
楽しみです,cannot wait; looking forward to it,,
