足,leg; foot,,
意味,meaning,,
お手洗い,restroom,,
お腹,stomach,,
風邪,cold (sickness),,
彼女,she; girlfriend,,
彼,he; boyfriend,,
気温,temperature (weather - not used for things),,
曇り,cloudy weather,,
試合,match; game,,
ジュース,juice,,
政治,politics,,
成績,grade (on a test  etc.),,
咳,cough,,
喉,throat,,
歯,tooth,,
花,flower,,
晴れ,fine weather,,
服,clothes,,
二日酔い,hangover,,
プレゼント,present,,
ホームシック,homesickness,,
マイナス,minus,,
物,thing (concrete object),,
雪,snow,,
用事,business to take care of,,
甘い,sweet,,
痛い,hurt; painful,,
多い,there are many ...,,
狭い,narrow; not spacious,,
都合が悪い,inconvenient; to have a scheduling conflict,,
悪い,bad,,
素敵(な),nice,,
歩く,to walk,,
風邪を引く,to catch a cold,,
興味がある,to be interested (in ... ),,
無くす,to lose (something),,
熱がある,to have a fever,,
喉が渇く,to become thirsty,,
咳が出る,to cough,,
別れる,to break up; to separate,,
緊張する,to get nervous,,
心配する,to worry,,
お大事に,Get well soon.,,
元気がない,doesn't look well,,
多分,probably,,
できるだけ,as much as possible,,
〜でしょう,probably; ...  right?,,
〜度,... degrees (temperature),,
二三日,for two to three days,,
〜ので,because ...,,
初めて,for the first time,,
もうすぐ,very soon; in a few moments / days,,
インフルエンザ,Influenza,,
アレルギー,allergy,,
卵,egg,,
切符,train ticket,,
~代,charge; fee,,
彼氏,boyfriend,,
広い,wide; spacious,,
多分,maybe,,
それに,moreover; in addition,,
同じ,same,,
