あの...,um...
DVD,DVD ディーブイディー
(my) mother,母
eye,目
glasses,眼鏡
bright; smart; clever,頭がいい
cute,かわいい
tall (stature),背が高い
short (stature),背が低い
long,長い
fast,速い
short (length),短い
kind,親切(な)
convenient,便利(な)
to sing,歌う
to put on (a hat),かぶる
to get to know,知る
I know,知っています
I do not know,知りません
to live,住む
to put on (items below your waist),はく
to gain weight,太る
to be on the heavy side,太っています
to put on (glasses),(めがね)をかける
to put on (clothes above your waist),着る
to work for,勤く
to lose weight,やせる
to be thin,やせています
to get married,結婚する
..., but,〜が
not ... anything,何も+ negative
[counter for people],〜人
one person,一人
two people,二人
nothing in particular,別に+ negative
Hello? (used on the phone),もしもし
of course,もちろん
if you like,よかったら
あさって,the day after tomorrow
雨,rain
カメラ,camera
カラオケ,karaoke
空気,air
今朝,this morning
黒板,blackboard
今月,this month
天気予報,weather forecast
所,place
トマト,tomato
夏,summer
何か,something
パーティー,party
バーベキュー,barbeque
はし,chopsticks
冬,winter
ホームステイ,homestay; living with a local family
毎週,every week
来月,next month
上手(な),skillful; good at ...
下手(な),clumsy; poor at ...
有名(な),famous
雨が降る,it rains
洗う,to wash
言う,to say
いる (う-verb),to need
遅くなる,to be late
思う,to think
切る,to cut
作る,to make
持っていく,to take (a thing)
じろじろ見る,to stare (at ... )
捨てる,to throw away
始める,to begin
運転する,to drive
洗濯する,to do laundry
掃除する,to clean
電話する,to call
料理する,to cook
いつも,always
ううん,uh-uh; no
うん,uh-huh; yes
乾杯,Cheers! (a toast)
残念(ですね),That's too bad.
〜について,about ... ; concerning ...
まだ+ negative,not ... yet
みんなで,all (of the people) together
いい子,good child
色,colour
お弁当,boxed lunch
歌舞伎,Kabuki; traditional Japanese theatrical art
ギター,guitar
去年,last year
薬,medicine
薬を飲む,to take medicine
コンサート,concert
今度,near future
作文,essay; composition
試験,exam
スキー,ski
先月,last month
単語,word; vocabulary
ピアノ,piano
ピザ,pizza
病気,illness; sickness
青い,blue
赤い,red
黒い,black
寂しい,lonely
白い,white
若い,young
意地悪(な),mean-spirited
踊る,to dance
終わる,(something) ends
人気がある,to be popular
始まる,(something) begins
弾く,to play (a stringed instrument or piano)
もらう,to get (from somebody)
覚える,to memorize
出る,(1) to appear; to attend<div>(2) to exit</div>
運動する,to do physical exercise
散歩する,to take a walk
是非,by all means
ところで,by the way
皆,all
もう,already
一つ,one
二つ,two
三つ,three
四つ,four
五つ,five
六つ,six
七つ,seven
八つ,eight
九つ,nine
十,ten
手紙,letter
メール,email
チケット,ticket
そう,I think so
〜から,from (a place or time)
〜まで,to (a place or time)
秋,autumn / fall,,
駅,station,,
お金持ち,rich person,,
顔,face,,
季節,season,,
牛乳,milk,,
クレジットカード,credit card,,
ケーキ,cake,,
今年,this year,,
サッカー,soccer,,
シャツ,shirt,,
新幹線,"Shinkansen; ""Bullet Train""",,
寿司,sushi,,
生活,life; living,,
世界,world,,
地下鉄,subway,,
手袋,gloves,,
天ぷら,tempura,,
床屋,barber's,,
春,spring,,
パンツ,pants,,
美容院,beauty parlour,,
便,flight,,
船,ship; boat,,
