姉,(my) older sister,
アパート,apartment,
歌,song,
おじいさん,grandfather; old man,
男の人,man,
おばあさん,grandmother; old woman,
女の人,woman,
会社,company,
家族,family,
髪,hair,
兄弟,brothers and sisters,
口,mouth,
国,country; place of origin,
車,car,
ゲーム,game,
コンビニ,convenience store,
サークル,club activity,
食堂,cafeteria; dining commons,
父,(my) father,
DVD ディーブイディー,DVD,
母,(my) mother,
目,eye,
眼鏡,glasses,
頭がいい,bright; smart; clever,
かわいい,cute,
背が高い,tall (stature),
背が低い,short (stature),
長い,long,
速い,fast,
短い,short (length),
親切(な),kind,
便利(な),convenient,
歌う,to sing,
かぶる,to put on (a hat),
知る,to get to know,
知っています,I know,
知りません,I do not know,
住む,to live,
はく,to put on (items below your waist),
太る,to gain weight,
太っています,to be on the heavy side,
(めがね)をかける,to put on (glasses),
着る,to put on (clothes above your waist),
勤く,to work for,
やせる,to lose weight,
やせています,to be thin,
結婚する,to get married,
〜が,But,
何も+ negative,not ... anything,
〜人,[counter for people],
一人,one person,
二人,two people,
別に+ negative,nothing in particular,
もしもし,Hello? (used on the phone),
もちろん,of course,
よかったら,if you like,
