ウエイター,waiter,,
お宅,(someone's) house / home,,
大人,adult,,
外国語,foreign language,,
楽器,musical instrument,,
空手,karate,,
カレー,curry,,
着物,kimono; Japanese traditional dress,,
広告,advertisement,,
紅茶,tea (black tea),,
言葉,language,,
ゴルフ,golf,,
セーター,sweater,,
象,elephant,,
バイオリン,violin,,
バイク,motorbike,,
物価,(consumer) prices,,
文法,grammar,,
募集,recruitment,,
店,shop; store,,
やくざ,yakuza; gangster,,
約束,promise; appointment,,
レポート,(term) paper,,
私,I (formal),,
嬉しい,glad,,
悲しい,sad,,
辛い,hot and spicy; salty,,
凄い,incredible; awesome,,
近い,close; near,,
色々(な),various; different kinds of,,
幸せ(な),happy (lasting happiness),,
だめ(な),no good,,
編む,to knit,,
貸す,to lend; to rent,,
頑張る,to do one's best; to try hard,,
泣く,to cry,,
磨く,to brush (teeth); to polish,,
約束を守る,to keep a promise,,
感動する,to be moved / touched (by ...),,
いらっしゃいます,(someone honourable) is present / home,,
〜回,... times,,
〜キロ,... kilometres; ... kilograms,,
 ...,as a matter of fact,,実は
全部,all,,
〜と申します,my name is ...,,
一日,one day,,
二日,two days,,
三日,three days,,
四日,four days,,
五日,five days,,
六日,six days,,
七日,seven days,,
八日,eight days,,
九日,nine days,,
十日,ten days,,
体,body,,
アプリ,application (app),,
マンション,larger apartment,,
空港,airport,,
厳しい,strict,,
気分が悪い,to feel sick,,
特に,especially,,
